// * Amjula music theory *
// (c) Copyright 2017 Jason Colman

// Intervals for grade 1
// For grade 1, intervals are not major or minor, just 2nd, 3rd... up to 8ve.
// TODO Do we need to have key sigs/accidentals?

// version
1

// Music score coords:
//  +--------------------------+   0.4
//  +--------------------------+
//  +--------------------------+
//  +--------------------------+
//  +--------------------------+   0.0
// 1.0                        3.0 (short stave)

// NB Stave x coord is 0.5, scaled to 1.0
// TODO Rewrite these strings when ScoreBuilder is done.
// D root
stave, 0.5, 0, 2.0, 1 ; treble-clef, 1.2, 0; semibreve, 1.9, -0.05; semibreve, 2.4, 0.00    =2nd
stave, 0.5, 0, 2.0, 1 ; treble-clef, 1.2, 0; semibreve, 1.9, -0.05; semibreve, 2.4, 0.05    =3rd
stave, 0.5, 0, 2.0, 1 ; treble-clef, 1.2, 0; semibreve, 1.9, -0.05; semibreve, 2.4, 0.10    =4th
stave, 0.5, 0, 2.0, 1 ; treble-clef, 1.2, 0; semibreve, 1.9, -0.05; semibreve, 2.4, 0.15    =5th
stave, 0.5, 0, 2.0, 1 ; treble-clef, 1.2, 0; semibreve, 1.9, -0.05; semibreve, 2.4, 0.20    =6th
stave, 0.5, 0, 2.0, 1 ; treble-clef, 1.2, 0; semibreve, 1.9, -0.05; semibreve, 2.4, 0.25    =7th
stave, 0.5, 0, 2.0, 1 ; treble-clef, 1.2, 0; semibreve, 1.9, -0.05; semibreve, 2.4, 0.30    =Octave (8ve)
stave, 0.5, 0, 2.0, 1 ; treble-clef, 1.2, 0; semibreve, 1.9,  0.00; semibreve, 2.4, 0.05    =2nd
stave, 0.5, 0, 2.0, 1 ; treble-clef, 1.2, 0; semibreve, 1.9,  0.00; semibreve, 2.4, 0.10    =3rd
stave, 0.5, 0, 2.0, 1 ; treble-clef, 1.2, 0; semibreve, 1.9,  0.00; semibreve, 2.4, 0.15    =4th
stave, 0.5, 0, 2.0, 1 ; treble-clef, 1.2, 0; semibreve, 1.9,  0.00; semibreve, 2.4, 0.20    =5th
