// * Amjula music theory *
// (c) Copyright 2024 Juliet Colman

// Intervals for grade 1
// For grade 1, intervals are not major or minor, just 2nd, 3rd... up to 8ve.
// TODO Do we need to have key sigs/accidentals?

// version
1

// Music score coords:
//  +--------------------------+   0.4
//  +--------------------------+
//  +--------------------------+
//  +--------------------------+
//  +--------------------------+   0.0
// 1.0                        3.0 (short stave)

// NB Stave x coord is 0.5, scaled to 1.0

NOTE_ON, 40, 0.01 ; NOTE_ON, 41, 0.25 ; NOTE_OFF, 40, 0.25 ; NOTE_OFF, 41, 0.6 ; stave, 0.5, 0, 2.0, 1 ; bass-clef, 1.2, 0; TIME, 0.01, 0.25 ; bass-e2-sb, 1.9, 0; TIME, 0.25, 0.5 ; bass-f2-sb, 2.4, 0    =$$$14
NOTE_ON, 40, 0.01 ; NOTE_ON, 43, 0.25 ; NOTE_OFF, 40, 0.25 ; NOTE_OFF, 43, 0.6 ; stave, 0.5, 0, 2.0, 1 ; bass-clef, 1.2, 0; TIME, 0.01, 0.25 ; bass-e2-sb, 1.9, 0; TIME, 0.25, 0.5 ; bass-g2-sb, 2.4, 0    =$$$15
NOTE_ON, 40, 0.01 ; NOTE_ON, 45, 0.25 ; NOTE_OFF, 40, 0.25 ; NOTE_OFF, 45, 0.6 ; stave, 0.5, 0, 2.0, 1 ; bass-clef, 1.2, 0; TIME, 0.01, 0.25 ; bass-e2-sb, 1.9, 0; TIME, 0.25, 0.5 ; bass-a3-sb, 2.4, 0    =$$$16
NOTE_ON, 40, 0.01 ; NOTE_ON, 47, 0.25 ; NOTE_OFF, 40, 0.25 ; NOTE_OFF, 47, 0.6 ; stave, 0.5, 0, 2.0, 1 ; bass-clef, 1.2, 0; TIME, 0.01, 0.25 ; bass-e2-sb, 1.9, 0; TIME, 0.25, 0.5 ; bass-b3-sb, 2.4, 0    =$$$17
NOTE_ON, 40, 0.01 ; NOTE_ON, 48, 0.25 ; NOTE_OFF, 40, 0.25 ; NOTE_OFF, 48, 0.6 ; stave, 0.5, 0, 2.0, 1 ; bass-clef, 1.2, 0; TIME, 0.01, 0.25 ; bass-e2-sb, 1.9, 0; TIME, 0.25, 0.5 ; bass-c3-sb, 2.4, 0    =$$$18
NOTE_ON, 40, 0.01 ; NOTE_ON, 50, 0.25 ; NOTE_OFF, 40, 0.25 ; NOTE_OFF, 50, 0.6 ; stave, 0.5, 0, 2.0, 1 ; bass-clef, 1.2, 0; TIME, 0.01, 0.25 ; bass-e2-sb, 1.9, 0; TIME, 0.25, 0.5 ; bass-d3-sb, 2.4, 0    =$$$19
NOTE_ON, 40, 0.01 ; NOTE_ON, 52, 0.25 ; NOTE_OFF, 40, 0.25 ; NOTE_OFF, 52, 0.6 ; stave, 0.5, 0, 2.0, 1 ; bass-clef, 1.2, 0; TIME, 0.01, 0.25 ; bass-e2-sb, 1.9, 0; TIME, 0.25, 0.5 ; bass-e3-sb, 2.4, 0    =$$$20

NOTE_ON, 41, 0.01 ; NOTE_ON, 43, 0.25 ; NOTE_OFF, 41, 0.25 ; NOTE_OFF, 43, 0.6 ; stave, 0.5, 0, 2.0, 1 ; bass-clef, 1.2, 0; TIME, 0.01, 0.25 ; bass-f2-sb, 1.9, 0; TIME, 0.25, 0.5 ; bass-g2-sb, 2.4, 0    =$$$14
NOTE_ON, 41, 0.01 ; NOTE_ON, 45, 0.25 ; NOTE_OFF, 41, 0.25 ; NOTE_OFF, 45, 0.6 ; stave, 0.5, 0, 2.0, 1 ; bass-clef, 1.2, 0; TIME, 0.01, 0.25 ; bass-f2-sb, 1.9, 0; TIME, 0.25, 0.5 ; bass-a3-sb, 2.4, 0    =$$$15
NOTE_ON, 41, 0.01 ; NOTE_ON, 47, 0.25 ; NOTE_OFF, 41, 0.25 ; NOTE_OFF, 47, 0.6 ; stave, 0.5, 0, 2.0, 1 ; bass-clef, 1.2, 0; TIME, 0.01, 0.25 ; bass-f2-sb, 1.9, 0; TIME, 0.25, 0.5 ; bass-b3-sb, 2.4, 0    =$$$16
NOTE_ON, 41, 0.01 ; NOTE_ON, 48, 0.25 ; NOTE_OFF, 41, 0.25 ; NOTE_OFF, 48, 0.6 ; stave, 0.5, 0, 2.0, 1 ; bass-clef, 1.2, 0; TIME, 0.01, 0.25 ; bass-f2-sb, 1.9, 0; TIME, 0.25, 0.5 ; bass-c3-sb, 2.4, 0    =$$$17
